#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.398613    0.398613           0
           2     0.39455    0.396582  0.00143642
           3    0.398933    0.397366  0.00115177
           4    0.392939    0.396259  0.00129031
           5    0.392709    0.395549  0.00121189
           6    0.403629    0.396896  0.00159099
           7    0.394205    0.396511  0.00140938
           8    0.394048    0.396203  0.00126638
           9    0.399038    0.396518  0.00116419
          10    0.389836     0.39585  0.00122465
          11    0.397003    0.395955  0.00111779
          12    0.399614     0.39626  0.00106543
          13     0.39808      0.3964 0.000992626
          14    0.394457    0.396261 0.000931378
          15    0.394162    0.396121 0.000879739
          16    0.403341    0.396572 0.000933326
          17    0.400346    0.396794 0.000904436
          18    0.408527    0.397446  0.00106343
          19    0.403131    0.397745  0.00104871
          20    0.405673    0.398142  0.00106856
