#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.4365     78.4365           0
           2     79.2175      78.827    0.276139
           3     75.1446     77.5995     1.01897
           4     75.8393     77.1595    0.853984
           5     80.1214     77.7519    0.864571
           6     77.0427     77.6337     0.72851
           7     73.2553     77.0082    0.851625
           8      81.069     77.5158     0.88359
           9     80.9253     77.8946    0.862811
          10     83.2131     78.4265    0.926056
          11     83.7927     78.9143    0.961819
          12     78.9837     78.9201    0.881685
          13     77.5015      78.811    0.820588
          14     75.0442     78.5419    0.804875
          15     83.9443     78.9021    0.827885
          16     83.5527     79.1927    0.825591
          17     84.8066      79.523     0.84048
          18     71.7934     79.0935    0.896803
          19      80.332     79.1587    0.851968
          20     76.4382     79.0227    0.820157
