#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.332025    0.332025           0
           2    0.326122    0.329073  0.00208715
           3    0.367796    0.341981   0.0106304
           4    0.350678    0.344155  0.00819214
           5    0.324373    0.340199  0.00744801
           6     0.33948    0.340079  0.00620764
           7    0.371581    0.344579  0.00675799
           8    0.311284    0.340417   0.0070797
           9    0.328471     0.33909  0.00641629
          10     0.28494    0.333675  0.00772893
          11    0.285913    0.329333  0.00815523
          12    0.328077    0.329228   0.0074763
          13    0.340723    0.330113  0.00695329
          14    0.337061    0.330609  0.00647431
          15    0.300672    0.328613  0.00634285
          16    0.277916    0.325444   0.0066912
          17     0.26546    0.321916  0.00716782
          18    0.366755    0.324407  0.00718946
          19     0.31659    0.323996  0.00682283
          20    0.368877     0.32624  0.00684079
