#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.930058    0.930058           0
           2    0.914502     0.92228  0.00549988
           3    0.822726    0.889095   0.0273421
           4     0.85609    0.880844    0.021716
           5    0.834578    0.871591   0.0192435
           6    0.854366     0.86872   0.0162489
           7     0.86045    0.867539   0.0139706
           8    0.896448    0.871152    0.012683
           9    0.922398    0.876846   0.0124867
          10    0.903352    0.879497   0.0115159
          11     0.89837    0.881213    0.010596
          12    0.927894    0.885103   0.0104026
          13      0.9013    0.886349  0.00967676
          14     0.93853    0.890076   0.0096768
          15    0.872544    0.888907  0.00910199
          16     0.94206    0.892229  0.00911923
          17    0.938718    0.894964  0.00898348
          18    0.836806    0.891733  0.00904678
          19    0.952824    0.894948  0.00912415
          20    0.910924    0.895747  0.00870283
