#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.97334    -0.97334           0
           2    -0.97418    -0.97376 0.000296985
           3   -0.969212   -0.972244  0.00125354
           4   -0.970832   -0.971891 0.000988612
           5   -0.975112   -0.972535  0.00097852
           6   -0.973092   -0.972628 0.000819822
           7    -0.96858    -0.97205 0.000883422
           8    -0.97576   -0.972513 0.000886414
           9   -0.975896   -0.972889 0.000863933
          10   -0.978896    -0.97349 0.000963996
          11    -0.97844    -0.97394 0.000975755
          12    -0.97442    -0.97398 0.000895261
          13   -0.972188   -0.973842  0.00083694
          14   -0.970544   -0.973607 0.000809636
          15     -0.9792   -0.973979  0.00083714
          16    -0.97886   -0.974284 0.000838553
          17   -0.980616   -0.974657 0.000868004
          18   -0.966632   -0.974211 0.000927234
          19   -0.975608   -0.974285 0.000881342
          20   -0.970856   -0.974113 0.000853785
