#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529536   -0.529536           0
           2   -0.526396   -0.527966  0.00111016
           3   -0.527904   -0.527945 0.000740297
           4   -0.530228   -0.528516 0.000743316
           5   -0.528628   -0.528538  0.00059499
           6     -0.5265   -0.528199 0.000584829
           7   -0.529704   -0.528414 0.000539372
           8   -0.528184   -0.528385 0.000472714
           9   -0.525568   -0.528072 0.000513462
          10   -0.527296   -0.527994 0.000467943
          11   -0.526992   -0.527903 0.000434185
          12   -0.527792   -0.527894 0.000398102
          13   -0.526316   -0.527773 0.000385541
          14   -0.529116   -0.527869  0.00036975
          15   -0.527656   -0.527854 0.000345372
          16    -0.52942   -0.527952 0.000337363
          17   -0.529204   -0.528026 0.000325454
          18   -0.529832   -0.528126  0.00032247
          19   -0.530468   -0.528249 0.000328208
          20   -0.529512   -0.528313 0.000317811
