#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.8942      1.8942           0
           2     1.88837     1.89129  0.00206059
           3     1.89043       1.891  0.00139353
           4      1.8863     1.88983   0.0014584
           5     1.92547     1.89696  0.00648156
           6     1.83362      1.8864   0.0110472
           7     1.85997     1.88262   0.0100935
           8     1.88244      1.8826  0.00883184
           9     1.89966      1.8845  0.00805129
          10      1.8841     1.88446  0.00724626
          11     1.91448     1.88718  0.00708281
          12     1.88915     1.88735  0.00649446
          13     1.90968     1.88907  0.00621802
          14      1.9338     1.89226  0.00654363
          15     1.89864     1.89269  0.00612117
          16     1.90464     1.89343  0.00578403
          17     1.87483     1.89234  0.00554632
          18     1.92021     1.89389  0.00545006
          19     1.95452     1.89708  0.00602547
          20     1.91558       1.898  0.00579479
