#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.201407    0.201407           0
           2     0.21644    0.208924  0.00531497
           3    0.243144     0.22033  0.00996489
           4    0.166304    0.206824   0.0138808
           5    0.155708    0.196601   0.0143848
           6    0.198636     0.19694   0.0119914
           7     0.18085    0.194641   0.0104963
           8    0.248166    0.201332   0.0111139
           9    0.170172     0.19787   0.0104043
          10       0.213    0.199383  0.00947328
          11    0.184908    0.198067  0.00870298
          12    0.203286    0.198502   0.0079886
          13     0.21561    0.199818   0.0074817
          14    0.212544    0.200727   0.0070023
          15    0.204278    0.200964  0.00653948
          16    0.175746    0.199387  0.00631784
          17    0.181614    0.198342  0.00603209
          18    0.193302    0.198062  0.00570347
          19    0.170828    0.196629  0.00558049
          20    0.193678    0.196481  0.00530342
