#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.805329   -0.805329           0
           2   -0.802212   -0.803771  0.00110203
           3   -0.803076   -0.803539  0.00075861
           4   -0.805744    -0.80409 0.000742711
           5   -0.806864   -0.804645 0.000774103
           6    -0.80608   -0.804884  0.00068103
           7   -0.803288   -0.804656 0.000620741
           8    -0.80192   -0.804314 0.000630369
           9   -0.804096    -0.80429 0.000560793
          10   -0.805996   -0.804461 0.000530032
          11   -0.803872   -0.804407  0.00048454
          12    -0.80864    -0.80476 0.000557981
          13   -0.802196   -0.804563 0.000548805
          14   -0.808328   -0.804832 0.000571725
          15   -0.805728   -0.804891 0.000536725
          16   -0.805276   -0.804915 0.000503718
          17   -0.806196   -0.804991 0.000479688
          18   -0.802844   -0.804871 0.000467628
          19   -0.805308   -0.804894 0.000443581
          20   -0.800744   -0.804687 0.000467429
