#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.94733     2.94733           0
           2     2.97454     2.96093  0.00962044
           3     2.89172     2.93786   0.0199005
           4     2.96337     2.94424    0.015914
           5      3.0149     2.95837   0.0179402
           6     3.02919     2.97017   0.0184283
           7     3.10981     2.99012   0.0243024
           8      3.0686     2.99993     0.02316
           9     2.96621     2.99618   0.0208876
          10      2.8643       2.983   0.0225817
          11     2.94614     2.97965   0.0207758
          12     3.01191     2.98233   0.0192177
          13     2.84965     2.97213   0.0202694
          14     2.96908     2.97191   0.0188228
          15     2.98488     2.97277   0.0175878
          16     2.89792      2.9681   0.0170995
          17     3.01016     2.97057   0.0162717
          18     2.99651     2.97201   0.0154314
          19      2.8319     2.96464   0.0162862
          20      2.9157     2.96219   0.0156546
