#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.063665    0.063665           0
           2    0.066134   0.0648995 0.000872923
           3    0.063806    0.064535 0.000653634
           4    0.051632   0.0613093  0.00283627
           5    0.058694   0.0607862  0.00231674
           6    0.051252   0.0591972  0.00241484
           7     0.06344   0.0598033  0.00214459
           8    0.071082   0.0612131  0.00229358
           9      0.0655   0.0616894  0.00208761
          10     0.05328   0.0608485  0.00204121
          11    0.052138   0.0600566  0.00200336
          12     0.06036   0.0600819  0.00183658
          13    0.066016   0.0605384  0.00175111
          14    0.076928   0.0617091  0.00197904
          15    0.052458   0.0610923  0.00194082
          16    0.067304   0.0614806  0.00185794
          17     0.05471   0.0610823  0.00179083
          18    0.060312   0.0610395  0.00169185
          19    0.065582   0.0612786  0.00161961
          20    0.056656   0.0610475  0.00155503
