#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.841207    0.841207           0
           2    0.847576    0.844392   0.0022517
           3    0.852224    0.847002   0.0026071
           4    0.845189    0.846549  0.00199435
           5    0.830633    0.843366  0.00326373
           6    0.831823    0.841442  0.00323745
           7    0.827244    0.839414   0.0033506
           8    0.824299    0.837524  0.00342328
           9    0.847923     0.83868    0.003232
          10    0.821747    0.836987  0.00332288
          11    0.834237    0.836737  0.00303019
          12    0.829665    0.836147   0.0028344
          13    0.846844     0.83697  0.00273319
          14    0.856273    0.838349  0.00286471
          15     0.83109    0.837865   0.0027143
          16    0.838349    0.837895  0.00254482
          17    0.825604    0.837172  0.00249572
          18     0.83858     0.83725  0.00235829
          19    0.845677    0.837694  0.00227549
          20    0.842311    0.837925   0.0021734
