#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.560805    0.560805           0
           2    0.565051    0.562928  0.00150113
           3    0.568149    0.564668  0.00173807
           4    0.563459    0.564366  0.00132957
           5    0.553755    0.562244  0.00217582
           6    0.554549    0.560961   0.0021583
           7    0.551496    0.559609  0.00223374
           8    0.549533     0.55835  0.00228218
           9    0.565282     0.55912  0.00215467
          10    0.547831    0.557991  0.00221526
          11    0.556158    0.557824  0.00202013
          12     0.55311    0.557431   0.0018896
          13    0.564563     0.55798  0.00182213
          14    0.570849    0.558899  0.00190981
          15     0.55406    0.558577  0.00180953
          16      0.5589    0.558597  0.00169655
          17    0.550403    0.558115  0.00166381
          18    0.559053    0.558167  0.00157219
          19    0.563785    0.558463  0.00151699
          20    0.561541    0.558617  0.00144893
