#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.54218    -5.54218           0
           2    -5.54881    -5.54549  0.00234459
           3    -5.55475    -5.54858  0.00296394
           4    -5.54725    -5.54825  0.00224138
           5    -5.53338    -5.54527  0.00320752
           6    -5.53122    -5.54293  0.00342251
           7    -5.52835    -5.54085  0.00351077
           8    -5.52509    -5.53888  0.00358219
           9     -5.5479    -5.53988   0.0033213
          10    -5.52119    -5.53801  0.00347574
          11    -5.53456     -5.5377  0.00317391
          12    -5.52941    -5.53701  0.00298368
          13    -5.54902    -5.53793  0.00289374
          14    -5.55949    -5.53947  0.00306964
          15    -5.53128    -5.53893  0.00291313
          16     -5.5387    -5.53891  0.00273109
          17    -5.52397    -5.53803  0.00270824
          18    -5.53878    -5.53807   0.0025581
          19    -5.54766    -5.53858  0.00247269
          20    -5.54545    -5.53892  0.00237283
