#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70097    -4.70097           0
           2    -4.70123     -4.7011 9.28941e-05
           3    -4.70252    -4.70158 0.000391642
           4    -4.70206     -4.7017 0.000312196
           5    -4.70275    -4.70191 0.000312407
           6     -4.6994    -4.70149 0.000461803
           7    -4.70111    -4.70144  0.00039908
           8    -4.70079    -4.70135 0.000357222
           9    -4.69997     -4.7012 0.000348966
          10    -4.69944    -4.70103  0.00035581
          11    -4.70032    -4.70096 0.000329159
          12    -4.69974    -4.70086 0.000317046
          13    -4.70218    -4.70096 0.000308414
          14    -4.70322    -4.70112 0.000325846
          15    -4.70019    -4.70106 0.000309947
          16    -4.70035    -4.70102 0.000293775
          17    -4.69836    -4.70086 0.000315267
          18     -4.7002    -4.70082 0.000299868
          19    -4.70198    -4.70088 0.000290206
          20    -4.70314      -4.701 0.000296837
