#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.303676    0.303676           0
           2    0.271228    0.287452   0.0114721
           3    0.288644    0.287849  0.00765494
           4    0.320022    0.295893  0.00902668
           5    0.316984    0.300111  0.00814758
           6    0.301946    0.300417  0.00679539
           7    0.252308    0.293544  0.00862624
           8    0.225254    0.285008   0.0109878
           9    0.324556    0.289402   0.0106093
          10    0.249836    0.285445   0.0102596
          11    0.281768    0.285111  0.00933237
          12    0.262144    0.283197  0.00874873
          13    0.265408    0.281829  0.00818207
          14    0.261664    0.280388  0.00772337
          15    0.262336    0.279185  0.00730164
          16     0.33283    0.282538  0.00757607
          17     0.26176    0.281316  0.00722833
          18    0.314482    0.283158   0.0070577
          19    0.310076    0.284575  0.00682695
          20    0.286318    0.284662  0.00648616
