#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450902    0.450902           0
           2    0.456101    0.453502   0.0018381
           3    0.437506     0.44817  0.00452266
           4     0.45178    0.449072  0.00348091
           5    0.459652    0.451188  0.00336692
           6    0.448761    0.450784  0.00282997
           7    0.431753    0.448065  0.00349556
           8    0.466029    0.450311  0.00371041
           9    0.440663    0.449239  0.00344952
          10    0.443234    0.448638   0.0031564
          11    0.447176    0.448505  0.00287225
          12    0.424435    0.446499  0.00325889
          13    0.418748    0.444365  0.00364087
          14    0.441728    0.444176  0.00338568
          15    0.445859    0.444288  0.00316182
          16    0.450588    0.444682  0.00298862
          17     0.44267    0.444564  0.00281516
          18    0.435405    0.444055  0.00270435
          19    0.450728    0.444406  0.00258473
          20    0.453288     0.44485  0.00249335
