#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.060706    0.060706           0
           2     0.05173    0.056218   0.0031735
           3    0.048914   0.0537833  0.00290306
           4    0.065362    0.056678  0.00332038
           5    0.067032   0.0587488  0.00323829
           6    0.061136   0.0591467  0.00272291
           7    0.047972   0.0575503  0.00276253
           8    0.060898   0.0579688   0.0024487
           9    0.061774   0.0583916  0.00221282
          10    0.058448   0.0583972  0.00199155
          11    0.064322   0.0589358  0.00188192
          12    0.054904   0.0585998  0.00175483
          13    0.058004    0.058554  0.00162044
          14     0.06156   0.0587687  0.00151886
          15    0.050374   0.0582091  0.00151721
          16    0.060952   0.0583805  0.00143203
          17    0.054458   0.0581498  0.00136626
          18    0.060352   0.0582721  0.00129582
          19    0.058444   0.0582812  0.00122765
          20    0.058002   0.0582672  0.00116635
