#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.68045     5.68045           0
           2     5.80969     5.74507    0.045692
           3     5.77765     5.75593   0.0317258
           4     5.44442     5.67805   0.0715177
           5     5.29324     5.60109   0.0895096
           6     5.55214     5.59293   0.0749622
           7     5.61021      5.5954   0.0642939
           8     5.60464     5.59656   0.0562676
           9     5.72548     5.61088   0.0518069
          10      5.5714     5.60693   0.0467764
          11     5.65816     5.61159   0.0427551
          12     5.41448     5.59516   0.0422296
          13     5.68452     5.60204   0.0395367
          14     5.70496     5.60939   0.0373899
          15     5.46315     5.59964   0.0361459
          16     5.56708     5.59761    0.033944
          17     5.49705     5.59169   0.0324586
          18     5.54944     5.58934   0.0307401
          19     5.89829      5.6056   0.0331449
          20     5.68211     5.60943   0.0317076
