#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      10.376      10.376           0
           2      10.583     10.4795   0.0731887
           3      10.499      10.486   0.0490803
           4     9.45333     10.2279    0.226596
           5     10.7685      10.336    0.205465
           6     10.4121     10.3487    0.171612
           7     10.0336     10.3037    0.152884
           8     10.7755     10.3627    0.144704
           9     10.6502     10.3946    0.132107
          10     9.95656     10.3508     0.12595
          11     10.6467     10.3777    0.117338
          12     10.4568     10.3843    0.107744
          13     10.6959     10.4083    0.102088
          14     10.4136     10.4086   0.0947967
          15     9.47541     10.3464    0.106962
          16     9.82948     10.3141    0.105044
          17     10.2176     10.3084   0.0990178
          18      10.609     10.3251   0.0949147
          19     10.9033     10.3556   0.0946718
          20     11.0108     10.3883    0.095438
