#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440947    0.440947           0
           2    0.444483    0.442715   0.0012503
           3    0.439566    0.441665  0.00119552
           4    0.441716    0.441678 0.000896707
           5    0.448113    0.442965  0.00135637
           6    0.438408    0.442205  0.00132603
           7    0.417038     0.43861  0.00351729
           8    0.439201    0.438684  0.00307841
           9    0.444607    0.439342  0.00280582
          10    0.425851    0.437993  0.00283106
          11    0.458817    0.439886  0.00314356
          12    0.417992    0.438062   0.0033697
          13    0.432596    0.437641  0.00313661
          14    0.445512    0.438203  0.00296252
          15    0.427853    0.437513  0.00284425
          16    0.438157    0.437554  0.00266677
          17    0.436526    0.437493  0.00251058
          18    0.450977    0.438242  0.00248034
          19    0.438133    0.438236  0.00234981
          20    0.444085    0.438529  0.00225044
