#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.584156   -0.584156           0
           2   -0.581412   -0.582784 0.000970151
           3    -0.58254   -0.582703 0.000650167
           4   -0.585136   -0.583311 0.000717865
           5   -0.582896   -0.583228 0.000579071
           6   -0.582788   -0.583155  0.00048718
           7   -0.584116   -0.583292 0.000436511
           8    -0.58224   -0.583161 0.000401266
           9   -0.581232   -0.582946  0.00040992
          10   -0.583824   -0.583034 0.000378209
          11    -0.58272   -0.583005 0.000344902
          12   -0.583204   -0.583022 0.000316557
          13   -0.580972   -0.582864 0.000329148
          14   -0.583352   -0.582899 0.000307476
          15   -0.581404   -0.582799 0.000302703
          16   -0.582424   -0.582776 0.000284692
          17   -0.581088   -0.582677 0.000284735
          18   -0.584372   -0.582771 0.000284066
          19    -0.58292   -0.582779 0.000269224
          20    -0.58024   -0.582652 0.000284116
