#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050418    0.050418           0
           2     0.04775    0.049084  0.00094328
           3    0.042354   0.0468407  0.00193662
           4    0.051926    0.048112   0.0018226
           5    0.058058   0.0501012  0.00230033
           6    0.049206    0.049952  0.00192178
           7    0.052276    0.050284  0.00167567
           8    0.048342   0.0500413  0.00148369
           9    0.048848   0.0499087  0.00132475
          10    0.050548   0.0499726  0.00119381
          11    0.054644   0.0503973  0.00115836
          12    0.049966   0.0503613  0.00106239
          13     0.05218   0.0505012 0.000989832
          14    0.045718   0.0501596 0.000976316
          15    0.049182   0.0500944 0.000913401
          16    0.051354   0.0501731 0.000859699
          17     0.05095   0.0502188 0.000810342
          18     0.05275   0.0503594 0.000777429
          19    0.054046   0.0505535 0.000760339
          20      0.0435   0.0502008 0.000799943
